Province_State,year,Confirmed,Deaths,Total_Test_Results
North Carolina,2020,46183646,730210,443827287.0
North Carolina,2021,405235378,5073159,5231861080.0
North Carolina,2022,1042574134,9032331,7114466096.0
North Carolina,2023,232452092,1910611,0.0
North Dakota,2020,6780580,86072,58551808.0
North Dakota,2021,43668822,586610,590804503.0
North Dakota,2022,91641180,831195,168158206.0
North Dakota,2023,19313573,166461,0.0
Ohio,2020,44823090,1147479,746904600.0
Ohio,2021,442495329,7888954,6282858973.0
Ohio,2022,1050039858,14203327,6791742555.0
Ohio,2023,228104802,2829967,0.0
Oklahoma,2020,20492455,232992,116384295.0
Oklahoma,2021,185194414,2718673,1487459681.0
Oklahoma,2022,398425735,5799781,432993891.0
Oklahoma,2023,86505349,1202689,0.0
Oregon,2020,8319224,127295,91264071.0
Oregon,2021,88743162,1147195,2024167896.0
Oregon,2022,288491761,2827082,2941118033.0
Oregon,2023,64704230,625792,0.0
Pennsylvania,2020,47199270,1986193,320374144.0
Pennsylvania,2021,459767218,10017670,5307019365.0
Pennsylvania,2022,1093215484,16525101,6663168085.0
Pennsylvania,2023,236491486,3380273,0.0
Rhode Island,2020,7340040,275764,85846010.0
Rhode Island,2021,56368126,982433,1601651319.0
Rhode Island,2022,143153202,1301207,2053458730.0
Rhode Island,2023,30907928,260226,0.0
South Carolina,2020,29288436,617958,134479155.0
South Carolina,2021,242244740,3802528,2561458344.0
South Carolina,2022,567828258,6469983,3316631322.0
South Carolina,2023,123093204,1307024,0.0
South Dakota,2020,7215143,86759,60415848.0
South Dakota,2021,47892836,743946,307200194.0
South Dakota,2022,89820033,1067071,345309332.0
South Dakota,2023,18703609,214387,0.0
Tennessee,2020,44349102,544990,251775337.0
Tennessee,2021,355146673,4824933,3080298810.0
Tennessee,2022,782152820,9611808,3368967418.0
Tennessee,2023,168915748,1972209,0.0
Texas,2020,157159261,2977237,597342709.0
Texas,2021,1209857628,19992913,9728722829.0
Texas,2022,2631065018,32007662,12614683560.0
Texas,2023,568377550,6293452,0.0
Utah,2020,19964398,111132,100502814.0
Utah,2021,162618552,911256,1328035815.0
Utah,2022,354403110,1740615,1583334249.0
Utah,2023,73608361,357006,0.0
Vermont,2020,553450,16130,30492020.0
Vermont,2021,10112101,100847,630924085.0
Vermont,2022,47101125,243900,930702782.0
Vermont,2023,10229073,60021,0.0
Virgin Islands,2020,214867,3491,1590777.0
Virgin Islands,2021,1700233,16670,47867081.0
Virgin Islands,2022,7173148,42162,101214233.0
Virgin Islands,2023,1661951,8769,0.0
Virginia,2020,32809601,668157,184713485.0
Virginia,2021,263803446,4077309,2854129768.0
Virginia,2022,677871348,7429173,3553874736.0
Virginia,2023,153438099,1579530,0.0
Washington,2020,21436518,480493,165811308.0
Washington,2021,184513883,2340357,2792677110.0
Washington,2022,589016431,4804093,756659956.0
Washington,2023,129806526,1048432,0.0
West Virginia,2020,4675392,84247,63452415.0
West Virginia,2021,68550409,1154366,1157711149.0
West Virginia,2022,195685082,2534394,1624457319.0
West Virginia,2023,43177839,533482,0.0
Wisconsin,2020,37313917,406759,516171660.0
Wisconsin,2021,267263459,2972637,3351011384.0
Wisconsin,2022,625487084,5287249,4252306135.0
Wisconsin,2023,135002199,1096243,0.0
Wyoming,2020,2587389,20807,18883498.0
Wyoming,2021,26488009,316146,303255679.0
Wyoming,2022,59879468,664967,369448999.0
Wyoming,2023,12512449,134815,0.0
